Entity,Code,Year,HAQ Index,"Current health expenditure per capita, PPP (current international $)",Population (historical estimates),Continent
Afghanistan,AFG,1990,24.7,,10694804.0,
Afghanistan,AFG,1995,24.5,,16418911.0,
Afghanistan,AFG,2000,24.8,,19542986.0,
Afghanistan,AFG,2005,27.1,100.706985,24411196.0,
Afghanistan,AFG,2010,29.4,143.6695,28189672.0,
Afghanistan,AFG,2015,32.5,211.5873,33753500.0,Asia
Albania,ALB,1990,62.4,,3295073.0,
Albania,ALB,1995,65.1,,3284370.0,
Albania,ALB,2000,68.5,275.79718,3182027.0,
Albania,ALB,2005,71.6,362.53198,3032636.0,
Albania,ALB,2010,75.3,451.88205,2913402.0,
Albania,ALB,2015,78.2,568.9184,2882482.0,Europe
Algeria,DZA,1990,48.2,,25518074.0,
Algeria,DZA,1995,52.6,,28478024.0,
Algeria,DZA,2000,56.2,294.7033,30774624.0,
Algeria,DZA,2005,59.6,368.99152,32956690.0,
Algeria,DZA,2010,62.2,670.1161,35856348.0,
Algeria,DZA,2015,63.7,838.5103,39543148.0,Africa
American Samoa,ASM,1990,54.6,,47841.0,
American Samoa,ASM,1995,55.6,,53421.0,
American Samoa,ASM,2000,60.2,,58251.0,
American Samoa,ASM,2005,61.7,,57277.0,
American Samoa,ASM,2010,63.1,,54871.0,
American Samoa,ASM,2015,63.3,,51391.0,Oceania
Andean Latin America,,1990,43.2,,,
Andean Latin America,,1995,47.0,,,
Andean Latin America,,2000,53.5,,,
Andean Latin America,,2005,58.1,,,
Andean Latin America,,2010,60.9,,,
Andean Latin America,,2015,64.1,,,
Andorra,AND,1990,84.7,,53590.0,
Andorra,AND,1995,88.0,,62944.0,
Andorra,AND,2000,91.1,1936.8021,66116.0,
Andorra,AND,2005,92.6,2433.2073,79845.0,
Andorra,AND,2010,94.0,2816.1917,71542.0,
Andorra,AND,2015,94.6,3096.173,71766.0,Europe
Angola,AGO,1990,25.8,,11828643.0,
Angola,AGO,1995,28.1,,13912258.0,
Angola,AGO,2000,31.2,62.695866,16394067.0,
Angola,AGO,2005,35.6,137.98094,19450962.0,
Angola,AGO,2010,37.7,177.55281,23364196.0,
Angola,AGO,2015,40.7,191.202,28127724.0,Africa
Antigua and Barbuda,ATG,1990,56.6,,63346.0,
Antigua and Barbuda,ATG,1995,57.8,,68417.0,
Antigua and Barbuda,ATG,2000,60.3,794.05975,75070.0,
Antigua and Barbuda,ATG,2005,62.5,1011.61096,79879.0,
Antigua and Barbuda,ATG,2010,64.9,1108.5541,85710.0,
Antigua and Barbuda,ATG,2015,66.7,998.4859,89958.0,North America
Argentina,ARG,1990,57.4,,32637658.0,
Argentina,ARG,1995,60.3,,34946116.0,
Argentina,ARG,2000,63.5,1067.8286,37070772.0,
Argentina,ARG,2005,65.3,1032.6898,39070504.0,
Argentina,ARG,2010,66.6,1701.5576,41100124.0,
Argentina,ARG,2015,68.4,2059.3286,43257064.0,South America
Armenia,ARM,1990,56.8,,3556544.0,
Armenia,ARM,1995,55.6,,3322788.0,
Armenia,ARM,2000,59.0,111.539314,3168525.0,
Armenia,ARM,2005,60.0,319.7903,3047254.0,
Armenia,ARM,2010,63.7,693.2364,2946296.0,
Armenia,ARM,2015,67.5,1008.6956,2878598.0,Asia
Australasia,,1990,77.2,,,
Australasia,,1995,80.1,,,
Australasia,,2000,82.9,,,
Australasia,,2005,85.3,,,
Australasia,,2010,87.4,,,
Australasia,,2015,89.1,,,
Australia,AUS,1990,78.0,,17048002.0,
Australia,AUS,1995,80.8,,18003002.0,
Australia,AUS,2000,83.7,2155.3416,19017968.0,
Australia,AUS,2005,86.2,2841.8914,20171732.0,
Australia,AUS,2010,88.2,3587.3037,22019166.0,
Australia,AUS,2015,89.8,4392.074,23820240.0,Oceania
Austria,AUT,1990,74.4,,7678732.0,
Austria,AUT,1995,78.2,,7947293.0,
Austria,AUT,2000,81.6,2708.0295,8010425.0,
Austria,AUT,2005,84.2,3381.66,8227034.0,
Austria,AUT,2010,86.1,4303.1196,8362829.0,
Austria,AUT,2015,88.2,5204.622,8642422.0,Europe
Azerbaijan,AZE,1990,52.9,,7427840.0,
Azerbaijan,AZE,1995,51.8,,7889335.0,
Azerbaijan,AZE,2000,53.6,100.5925,8190341.0,
Azerbaijan,AZE,2005,55.4,152.24586,8656243.0,
Azerbaijan,AZE,2010,59.9,372.56824,9237203.0,
Azerbaijan,AZE,2015,64.5,615.1613,9863485.0,Asia
Bahrain,BHR,1990,59.7,,517429.0,
Bahrain,BHR,1995,63.2,,612941.0,
Bahrain,BHR,2000,67.3,1502.3873,711446.0,
Bahrain,BHR,2005,71.3,1441.6879,901928.0,
Bahrain,BHR,2010,77.2,1801.2579,1213655.0,
Bahrain,BHR,2015,79.0,2272.859,1362157.0,Asia
Bangladesh,BGD,1990,32.6,,107147656.0,
Bangladesh,BGD,1995,35.8,,117793336.0,
Bangladesh,BGD,2000,39.6,28.257042,129193336.0,
Bangladesh,BGD,2005,44.3,42.632378,140912592.0,
Bangladesh,BGD,2010,48.7,65.39174,148391136.0,
Bangladesh,BGD,2015,51.7,93.84658,157830000.0,Asia
Barbados,BRB,1990,55.9,,258871.0,
Barbados,BRB,1995,59.5,,262309.0,
Barbados,BRB,2000,62.6,677.4111,264663.0,
Barbados,BRB,2005,64.3,1002.88055,269489.0,
Barbados,BRB,2010,65.5,1092.4957,274717.0,
Barbados,BRB,2015,66.8,1050.8344,278095.0,North America
Belarus,BLR,1990,63.9,,10428527.0,
Belarus,BLR,1995,63.2,,10461694.0,
Belarus,BLR,2000,65.6,320.8687,10256489.0,
Belarus,BLR,2005,68.0,611.6829,9935166.0,
Belarus,BLR,2010,71.7,874.771,9731426.0,
Belarus,BLR,2015,74.4,1100.0824,9700609.0,Europe
Belgium,BEL,1990,75.4,,9959565.0,
Belgium,BEL,1995,78.8,,10095204.0,
Belgium,BEL,2000,81.6,2226.1443,10264351.0,
Belgium,BEL,2005,84.6,3082.29,10516979.0,
Belgium,BEL,2010,86.3,4101.0034,10877948.0,
Belgium,BEL,2015,87.9,4834.89,11248306.0,Europe
Belize,BLZ,1990,49.7,,182603.0,
Belize,BLZ,1995,50.5,,203572.0,
Belize,BLZ,2000,50.6,219.25671,240420.0,
Belize,BLZ,2005,53.7,311.95663,280386.0,
Belize,BLZ,2010,56.3,429.19797,322115.0,
Belize,BLZ,2015,58.3,430.13583,359884.0,North America
Benin,BEN,1990,36.9,,5133429.0,
Benin,BEN,1995,37.0,,6046512.0,
Benin,BEN,2000,37.3,54.598946,6998022.0,
Benin,BEN,2005,40.4,60.23724,8149420.0,
Benin,BEN,2010,41.5,70.85504,9445716.0,
Benin,BEN,2015,43.0,83.93218,10932791.0,Africa
Bermuda,BMU,1990,60.8,,57490.0,
Bermuda,BMU,1995,64.8,,59486.0,
Bermuda,BMU,2000,71.6,,61390.0,
Bermuda,BMU,2005,74.1,,62980.0,
Bermuda,BMU,2010,77.0,,63466.0,
Bermuda,BMU,2015,79.0,,63165.0,North America
Bhutan,BTN,1990,34.6,,558449.0,
Bhutan,BTN,1995,37.6,,527535.0,
Bhutan,BTN,2000,42.3,115.98997,587210.0,
Bhutan,BTN,2005,46.2,157.63615,663332.0,
Bhutan,BTN,2010,50.1,219.61429,705523.0,
Bhutan,BTN,2015,52.7,340.18665,743284.0,Asia
Bolivia,BOL,1990,40.5,,7096195.0,
Bolivia,BOL,1995,43.8,,7841471.0,
Bolivia,BOL,2000,48.5,151.10051,8592656.0,
Bolivia,BOL,2005,53.3,207.34644,9377395.0,
Bolivia,BOL,2010,56.4,268.80988,10223277.0,
Bolivia,BOL,2015,59.2,467.31436,11090090.0,South America
Bosnia and Herzegovina,BIH,1990,60.9,,4494314.0,
Bosnia and Herzegovina,BIH,1995,62.1,,3750528.0,
Bosnia and Herzegovina,BIH,2000,68.8,351.18784,4179355.0,
Bosnia and Herzegovina,BIH,2005,72.1,571.5225,4094297.0,
Bosnia and Herzegovina,BIH,2010,75.3,843.1259,3811093.0,
Bosnia and Herzegovina,BIH,2015,78.2,1123.0916,3524328.0,Europe
Botswana,BWA,1990,44.9,,1341480.0,
Botswana,BWA,1995,45.4,,1543641.0,
Botswana,BWA,2000,43.7,511.87955,1726992.0,
Botswana,BWA,2005,43.9,539.38116,1892819.0,
Botswana,BWA,2010,48.6,827.04047,2091666.0,
Botswana,BWA,2015,51.1,890.276,2305177.0,Africa
Brazil,BRA,1990,50.1,,150706448.0,
Brazil,BRA,1995,53.8,,163515328.0,
Brazil,BRA,2000,57.0,755.1784,175873712.0,
Brazil,BRA,2005,59.9,883.00604,186797344.0,
Brazil,BRA,2010,62.6,1136.1232,196353504.0,
Brazil,BRA,2015,64.9,1313.5973,205188208.0,South America
Brunei,BRN,1990,62.0,,261936.0,
Brunei,BRN,1995,64.3,,299108.0,
Brunei,BRN,2000,66.7,1875.7415,333937.0,
Brunei,BRN,2005,68.6,1861.6948,366728.0,
Brunei,BRN,2010,69.5,1828.9319,396064.0,
Brunei,BRN,2015,70.0,1492.9257,421449.0,Asia
Bulgaria,BGR,1990,63.0,,8767778.0,
Bulgaria,BGR,1995,63.2,,8477584.0,
Bulgaria,BGR,2000,64.8,373.59814,8097694.0,
Bulgaria,BGR,2005,66.7,706.3624,7815221.0,
Bulgaria,BGR,2010,67.9,1058.3381,7592271.0,
Bulgaria,BGR,2015,71.4,1354.8264,7309255.0,Europe
Burkina Faso,BFA,1990,32.9,,9131362.0,
Burkina Faso,BFA,1995,34.1,,10353268.0,
Burkina Faso,BFA,2000,36.0,27.199656,11882896.0,
Burkina Faso,BFA,2005,40.3,48.02848,13876134.0,
Burkina Faso,BFA,2010,42.7,78.70397,16116851.0,
Burkina Faso,BFA,2015,42.9,87.93651,18718022.0,Africa
Burundi,BDI,1990,23.5,,5483800.0,
Burundi,BDI,1995,23.4,,5932789.0,
Burundi,BDI,2000,27.0,32.55394,6307665.0,
Burundi,BDI,2005,35.5,47.9539,7388869.0,
Burundi,BDI,2010,40.5,74.76863,9126612.0,
Burundi,BDI,2015,40.4,54.107956,10727153.0,Africa
Cambodia,KHM,1990,30.0,,8910806.0,
Cambodia,KHM,1995,31.3,,10919528.0,
Cambodia,KHM,2000,34.1,70.347946,12118844.0,
Cambodia,KHM,2005,40.7,118.11627,13246588.0,
Cambodia,KHM,2010,45.5,167.76376,14363534.0,
Cambodia,KHM,2015,50.7,209.90909,15417527.0,Asia
Cameroon,CMR,1990,38.3,,11430519.0,
Cameroon,CMR,1995,37.7,,13211643.0,
Cameroon,CMR,2000,37.2,83.44686,15091598.0,
Cameroon,CMR,2005,41.0,96.531586,17275174.0,
Cameroon,CMR,2010,42.5,100.80982,19878044.0,
Cameroon,CMR,2015,44.4,122.230286,23012650.0,Africa
Canada,CAN,1990,78.9,,27657206.0,
Canada,CAN,1995,80.7,,29289430.0,
Canada,CAN,2000,83.2,2429.6057,30683316.0,
Canada,CAN,2005,84.7,3290.4197,32215914.0,
Canada,CAN,2010,86.3,4272.6284,33963416.0,
Canada,CAN,2015,87.6,4751.4434,35732120.0,North America
Cape Verde,CPV,1990,50.1,,364572.0,
Cape Verde,CPV,1995,49.3,,411394.0,
Cape Verde,CPV,2000,50.8,136.95897,458258.0,
Cape Verde,CPV,2005,53.7,185.28416,492841.0,
Cape Verde,CPV,2010,57.9,254.76901,521219.0,
Cape Verde,CPV,2015,61.7,288.9325,552169.0,Africa
Caribbean,,1990,42.4,,,
Caribbean,,1995,45.9,,,
Caribbean,,2000,48.8,,,
Caribbean,,2005,50.8,,,
Caribbean,,2010,52.3,,,
Caribbean,,2015,54.5,,,
Central African Republic,CAF,1990,25.5,,2809223.0,
Central African Republic,CAF,1995,25.8,,3276707.0,
Central African Republic,CAF,2000,26.7,27.277212,3759174.0,
Central African Republic,CAF,2005,28.0,34.39843,4208845.0,
Central African Republic,CAF,2010,28.8,36.6982,4660066.0,
Central African Republic,CAF,2015,28.6,39.62093,4819341.0,Africa
Central Asia,,1990,50.7,,,
Central Asia,,1995,49.2,,,
Central Asia,,2000,50.7,,,
Central Asia,,2005,52.4,,,
Central Asia,,2010,56.6,,,
Central Asia,,2015,59.9,,,
Central Europe,,1990,60.6,,,
Central Europe,,1995,63.4,,,
Central Europe,,2000,67.5,,,
Central Europe,,2005,70.5,,,
Central Europe,,2010,73.8,,,
Central Europe,,2015,77.1,,,
"Central Europe, Eastern Europe, and Central Asia",,1990,57.5,,,
"Central Europe, Eastern Europe, and Central Asia",,1995,55.9,,,
"Central Europe, Eastern Europe, and Central Asia",,2000,58.4,,,
"Central Europe, Eastern Europe, and Central Asia",,2005,60.8,,,
"Central Europe, Eastern Europe, and Central Asia",,2010,65.4,,,
"Central Europe, Eastern Europe, and Central Asia",,2015,68.5,,,
Central Latin America,,1990,47.6,,,
Central Latin America,,1995,52.2,,,
Central Latin America,,2000,55.8,,,
Central Latin America,,2005,58.3,,,
Central Latin America,,2010,60.2,,,
Central Latin America,,2015,62.4,,,
Central Sub-Saharan Africa,,1990,31.1,,,
Central Sub-Saharan Africa,,1995,32.1,,,
Central Sub-Saharan Africa,,2000,33.0,,,
Central Sub-Saharan Africa,,2005,35.7,,,
Central Sub-Saharan Africa,,2010,37.2,,,
Central Sub-Saharan Africa,,2015,38.6,,,
Chad,TCD,1990,35.6,,5827070.0,
Chad,TCD,1995,35.2,,6888862.0,
Chad,TCD,2000,32.1,45.396793,8259144.0,
Chad,TCD,2005,34.1,75.09175,10005013.0,
Chad,TCD,2010,36.3,74.0531,11894734.0,
Chad,TCD,2015,37.7,82.33955,14140277.0,Africa
Chile,CHL,1990,58.8,,13342876.0,
Chile,CHL,1995,64.2,,14416799.0,
Chile,CHL,2000,69.2,672.1103,15351803.0,
Chile,CHL,2005,72.0,839.83606,16175315.0,
Chile,CHL,2010,73.9,1230.4427,17004166.0,
Chile,CHL,2015,76.0,1884.5907,17870122.0,South America
China,CHN,1990,49.5,,1153704192.0,
China,CHN,1995,53.7,,1218144384.0,
China,CHN,2000,57.8,128.20192,1264099072.0,
China,CHN,2005,63.7,207.13808,1304887552.0,
China,CHN,2010,69.9,379.24588,1348191360.0,
China,CHN,2015,74.2,627.63074,1393715456.0,Asia
Colombia,COL,1990,51.1,,32601396.0,
Colombia,COL,1995,54.9,,35970104.0,
Colombia,COL,2000,58.4,373.7017,39215136.0,
Colombia,COL,2005,61.6,500.03946,42220944.0,
Colombia,COL,2010,64.4,751.30707,44816104.0,
Colombia,COL,2015,67.8,988.0946,47119728.0,South America
Comoros,COM,1990,32.7,,431128.0,
Comoros,COM,1995,34.3,,483767.0,
Comoros,COM,2000,38.4,130.80598,536762.0,
Comoros,COM,2005,44.1,123.16661,592691.0,
